type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_232633627068	232633627068_10155126809642069	https://www.facebook.com/appledaily.tw/videos/10155126809642069/	"再給自己一次機會 自殺防治諮詢安心專線：0800-788995（24小時）  生命線協談專線：1995  張老師專線：1980 　 #鄉民焦點 #台北 #瓦斯"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14510837_10155126814172069_8826468147616808960_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=3b8f756040f17db9a726f48ddb107dda&oe=5CE9D29B	https://scontent.xx.fbcdn.net/v/t15.5256-10/14510837_10155126814172069_8826468147616808960_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=7b3971740cd1cc77ef02831d885b012e&oe=5D2596D0	https://www.facebook.com/appledaily.tw/videos/10155126809642069/	facebook.com	2016-09-29T14:00:00+0000	1475157600	"2016-09-29 16:00:00"	181	1	199	3	203	1	1	0	0	2	4	0	2	10	0
video	post_page_232633627068	232633627068_10155126243442069	https://www.facebook.com/appledaily.tw/videos/10155126243442069/	"小時候被阿母罵過... 　　 【完整 #動新聞】這樣用筷子　保證你被罵翻 http://www.appledaily.com.tw/actionnews/appledaily/sub/20160928/957333/ 　 【圖文報導】 http://www.appledaily.com.tw/realtimenews/article/strange/20160928/957333/ 　 #筷子 #禁忌 #禮貌 #餐桌禮儀"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14411606_10155126248702069_1538323939577561088_n.jpg?_nc_cat=105&_nc_ht=scontent.xx&oh=e09b21cab171264e5ff683666f3f0cf4&oe=5CEB3114	https://scontent.xx.fbcdn.net/v/t15.5256-10/14411606_10155126248702069_1538323939577561088_n.jpg?_nc_cat=105&_nc_ht=scontent.xx&oh=6e19532be5f99095a68b2436d30d59c0&oe=5CEEEB5F	https://www.facebook.com/appledaily.tw/videos/10155126243442069/	facebook.com	2016-09-29T11:30:00+0000	1475148600	"2016-09-29 13:30:00"	1968	64	2120	65	2249	63	41	22	145	6	59	74	2	11	0
video	post_page_232633627068	232633627068_10155126204202069	https://www.facebook.com/appledaily.tw/videos/10155126204202069/	"找回單純的快樂 　　 完整 #動新聞【木匠人生】台大學霸不務正業 斷趾也要玩廢材 http://www.appledaily.com.tw/actionnews/appledaily/5/20160929/957981/ 　 【圖文報導】 http://www.appledaily.com.tw/realtimenews/article/life/20160929/957981/ 　 #陽光木工手作坊 #木工 #手作 #補教 陽光木工手作坊"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14411614_10155126207902069_2952693671293616128_n.jpg?_nc_cat=104&_nc_ht=scontent.xx&oh=0f2d62b69d8a1396bbd06b00edbbd733&oe=5CF0A09D	https://scontent.xx.fbcdn.net/v/t15.5256-10/14411614_10155126207902069_2952693671293616128_n.jpg?_nc_cat=104&_nc_ht=scontent.xx&oh=29ac32df4c6445ed7b087b24f21530ff&oe=5D2527D6	https://www.facebook.com/appledaily.tw/videos/10155126204202069/	facebook.com	2016-09-29T10:50:00+0000	1475146200	"2016-09-29 12:50:00"	2294	15	2359	140	2514	13	12	1	18	49	16	0	0	0	0
video	post_page_232633627068	232633627068_10155125949207069	https://www.facebook.com/appledaily.tw/videos/10155125949207069/	"這讓 #宅編 想起以前的日本節目的 #垃圾屋 大改造，每次看都嘆為觀止 　　 完整 #動新聞【動畫●伴屍20年】盲婦囤物癖　不知垃圾家中藏兒屍 http://www.appledaily.com.tw/actionnews/appledaily/7/20160928/957860/ 　 【圖文報導】 http://www.appledaily.com.tw/realtimenews/article/international/20160928/957860/ 　 #囤物癖 #蘋果動畫"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14467439_10155125956097069_443648337602674688_n.jpg?_nc_cat=111&_nc_ht=scontent.xx&oh=c8b94ca4c9d52500ca01a7451e7a913d&oe=5D21FC7A	https://scontent.xx.fbcdn.net/v/t15.5256-10/14467439_10155125956097069_443648337602674688_n.jpg?_nc_cat=111&_nc_ht=scontent.xx&oh=2fd56bb7c0f64f5ef67950f571fb6546&oe=5CF1A63C	https://www.facebook.com/appledaily.tw/videos/10155125949207069/	facebook.com	2016-09-29T08:30:00+0000	1475137800	"2016-09-29 10:30:00"	1282	35	1659	30	1724	31	23	8	55	5	261	1	97	13	0
video	post_page_232633627068	232633627068_10155125860692069	https://www.facebook.com/appledaily.tw/videos/10155125860692069/	"只有甘味可以超越甘味！ 　　 完整 #動新聞【又屍變】《甘味》曾莞婷颱風夜化鬼新娘害停電 http://ent.appledaily.com.tw/actionnews/index/20160928/957595/0 　 【圖文報導】 http://ent.appledaily.com.tw/realtimenews/article/entertainment/20160928/957595/ 　 #甘味人生 #屍速列車 #曾莞婷 甘味人生 曾莞婷 屍速列車"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14510708_10155125863457069_5500718410176135168_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=671743b71ce581ea1ce4ee77c3a077d3&oe=5CDAE8E0	https://scontent.xx.fbcdn.net/v/t15.5256-10/14510708_10155125863457069_5500718410176135168_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=521abe8a276c0ec31b02d6943d1881c4&oe=5CE4BEAB	https://www.facebook.com/appledaily.tw/videos/10155125860692069/	facebook.com	2016-09-29T07:50:00+0000	1475135400	"2016-09-29 09:50:00"	3496	147	4109	41	4297	137	104	33	273	22	93	488	2	8	0
video	post_page_232633627068	232633627068_10155125857137069	https://www.facebook.com/appledaily.tw/videos/10155125857137069/	"李燕還大聲疾呼：「請尊重，不要再把當事人馬賽克了！」  　　 完整 #動新聞【李燕動畫】公審譙「他媽的」不夠　還曝輔大性侵受害人個資 http://www.appledaily.com.tw/actionnews/appledaily/5/20160928/957701/ 　 【圖文報導】 http://www.appledaily.com.tw/realtimenews/article/local/20160928/957701/ 　 【#火線話題】輔大性侵風暴 社科院長停職 https://goo.gl/mLppBF #輔大 #夏林清 #停職 #輔仁大學 #輔大心理系 #李燕 #民主陣線"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14467375_10155125860702069_5569615625543745536_n.jpg?_nc_cat=101&_nc_ht=scontent.xx&oh=53377e7d1af79358da15eddd77a3d5c5&oe=5CEEB86B	https://scontent.xx.fbcdn.net/v/t15.5256-10/14467375_10155125860702069_5569615625543745536_n.jpg?_nc_cat=101&_nc_ht=scontent.xx&oh=0af2a321f92d4f65bfad790b3982e9bf&oe=5CE3F720	https://www.facebook.com/appledaily.tw/videos/10155125857137069/	facebook.com	2016-09-29T06:30:00+0000	1475130600	"2016-09-29 08:30:00"	888	200	1753	31	1984	187	162	25	513	8	12	27	3	815	0
video	post_page_232633627068	232633627068_10155125819247069	https://www.facebook.com/appledaily.tw/videos/10155125819247069/	"阿姨很可愛的，內有阿姨美照！ 　　 完整 #動新聞【找到了】颱風狼狽照傳遍國際　包子阿姨想告「偷拍的人」 http://www.appledaily.com.tw/actionnews/appledaily/7/20160928/958000/ 　 【圖文報導】 http://www.appledaily.com.tw/realtimenews/article/international/20160928/958000/　 　 【#火線話題】梅姬颱風襲台 https://goo.gl/P3UYqq #氣象 #颱風 #梅姬颱風 #美聯社 #華爾街日報"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14510698_10155125820972069_6063998272920354816_n.jpg?_nc_cat=106&_nc_ht=scontent.xx&oh=74867af1b28f4135540ea5dc32db2a15&oe=5CE6AAA8	https://scontent.xx.fbcdn.net/v/t15.5256-10/14510698_10155125820972069_6063998272920354816_n.jpg?_nc_cat=106&_nc_ht=scontent.xx&oh=0be8b1569190d9ba5c94b31d1e0cc23d&oe=5D2703E3	https://www.facebook.com/appledaily.tw/videos/10155125819247069/	facebook.com	2016-09-29T05:50:00+0000	1475128200	"2016-09-29 07:50:00"	2102	61	2435	39	2535	60	48	12	171	25	14	290	1	3	0
video	post_page_232633627068	232633627068_10155125813362069	https://www.facebook.com/appledaily.tw/videos/10155125813362069/	"吳玟萱說「你降落不成，差點失速也就算了，還把旅客丟包在香港，說只能給28個房間，讓全團旅客氣憤莫名」 　　 完整 #動新聞【獨家】吳玟萱控颱風天硬飛「草菅人命」　長榮回應了 http://ent.appledaily.com.tw/actionnews/index/20160928/957823/0 　 【圖文報導】 http://ent.appledaily.com.tw/realtimenews/article/entertainment/20160928/957823/ 　　 【#火線話題】梅姬颱風襲台 https://goo.gl/P3UYqq #氣象 #颱風 #梅姬颱風 #吳玟萱 #長榮 #長榮航空 無敵愛美神 吳玟萱"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14510755_10155125819447069_1242155433070690304_n.jpg?_nc_cat=110&_nc_ht=scontent.xx&oh=33ea40ad7a51ef6fbe80d12e9ded94e0&oe=5D1D750F	https://scontent.xx.fbcdn.net/v/t15.5256-10/14510755_10155125819447069_1242155433070690304_n.jpg?_nc_cat=110&_nc_ht=scontent.xx&oh=7247605ecb06549f5a57b353c943b486&oe=5CEFC044	https://www.facebook.com/appledaily.tw/videos/10155125813362069/	facebook.com	2016-09-29T05:30:00+0000	1475127000	"2016-09-29 07:30:00"	248	72	291	5	368	68	43	25	56	3	8	5	2	25	0
video	post_page_232633627068	232633627068_10155120378892069	https://www.facebook.com/appledaily.tw/videos/10155120378892069/	"【#特約轉播】 長這麼大還沒有試過邊看電影邊翻白眼 (顯示…) #EYE就翻白眼 #梁祝 #安娜貝爾 #鬼娃恰吉 #台灣之星 https://www.youtube.com/watch?v=G4LHodF6b1c"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14411561_10155120395212069_5431685989238046720_n.jpg?_nc_cat=105&_nc_ht=scontent.xx&oh=23407df66d271edd8e94b07b41c6836a&oe=5D1F449E	https://scontent.xx.fbcdn.net/v/t15.5256-10/14411561_10155120395212069_5431685989238046720_n.jpg?_nc_cat=105&_nc_ht=scontent.xx&oh=a4a7021a2eca7e58c082f0a9bbe34e31&oe=5CE265D5	https://www.facebook.com/appledaily.tw/videos/10155120378892069/	facebook.com	2016-09-29T04:00:00+0000	1475121600	"2016-09-29 06:00:00"	306	25	390	61	476	23	16	7	3	7	2	73	0	2	0
video	post_page_232633627068	232633627068_10155125661762069	https://www.facebook.com/appledaily.tw/videos/10155125661762069/	"冰箱外出散步，籃球架跑操場，梅姬真的太太太恐怖 　　 【完整 #動新聞】籃球架跑操場　縮時攝影紀錄梅姬狂風 http://www.appledaily.com.tw/actionnews/appledaily/5/20160928/957826/ 　 【圖文報導】 http://www.appledaily.com.tw/realtimenews/article/life/20160928/957826/ 　　 【#火線話題】梅姬颱風襲台 https://goo.gl/P3UYqq #氣象 #颱風 #梅姬颱風 #新竹 #縮時攝影"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14356477_10155125665052069_144156312387715072_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=d2bd890ad3a9c118dab162e209eea19f&oe=5CE5E4D6	https://scontent.xx.fbcdn.net/v/t15.5256-10/14356477_10155125665052069_144156312387715072_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=51e8a78491fdfd84e6fcac3fed5a68eb&oe=5CDD2590	https://www.facebook.com/appledaily.tw/videos/10155125661762069/	facebook.com	2016-09-29T03:50:00+0000	1475121000	"2016-09-29 05:50:00"	2905	66	3498	106	3670	66	42	24	47	13	368	203	8	1	0
