day	posts	likes	reactions	comments	shares
2016-09-14	6	13767	14999	713	681
2016-09-15	10	44458	56956	1993	6308
2016-09-16	8	65314	68826	2008	7724
2016-09-17	8	37342	44165	1669	1277
2016-09-18	7	36976	41386	770	823
2016-09-19	9	52077	58056	1595	2037
2016-09-20	9	40673	51822	1810	1725
2016-09-21	9	75536	91268	4197	13097
2016-09-22	11	25134	30588	1700	8856
2016-09-23	11	44707	59147	1833	2071
2016-09-24	8	30085	35435	2005	1553
2016-09-25	5	11066	12421	969	677
2016-09-26	9	16105	23297	2144	1905
2016-09-27	12	82828	118129	26685	24169
2016-09-28	9	30014	34002	3792	4339
2016-09-29	11	15958	19209	691	526
2016-09-30	0	0	0	0	0
